,var1,var2,ground_truth,truth_ab,truth_ba,context,var1_desc,var2_desc
pair0011, Age, Viscera weight, R,1,0,"Information for pairs0011:

https://archive.ics.uci.edu/ml/datasets/Abalone

1. Title of Database: Abalone data

2. Sources:

   (a) Original owners of database:
	Marine Resources Division
	Marine Research Laboratories - Taroona
	Department of Primary Industry and Fisheries, Tasmania
	GPO Box 619F, Hobart, Tasmania 7001, Australia
	(contact: Warwick Nash +61 02 277277, wnash@dpi.tas.gov.au)

   (b) Donor of database:
	Sam Waugh (Sam.Waugh@cs.utas.edu.au)
	Department of Computer Science, University of Tasmania
	GPO Box 252C, Hobart, Tasmania 7001, Australia

   (c) Date received: December 1995

3. Attribute information:

   Given is the attribute name, attribute type, the measurement unit and a
   brief description.  

	Name		Data Type	Meas.	Description
	----		---------	-----	-----------
x:	Rings		integer			+1.5 gives the age in years
y:	Viscera weight	continuous	grams	gut weight (after bleeding)


","In the context of the Abalone dataset, Age is a derived attribute, calculated by adding 1.5 to the number of rings an abalone has, representing the abalone's age in years.","Viscera weight is a continuous variable measured in grams, representing the weight of an abalone's gut after bleeding."
pair0012, Age, Wage per hour, R,1,0,"Information for pairs0012:

Census Income (KDD) dataset
https://archive.ics.uci.edu/ml/datasets/Census-Income+(KDD)

Info from the UCI ML webpage:

""This data set contains weighted census data extracted from the 1994 and 1995
current population surveys conducted by the U.S. Census Bureau.

Original Owner:

U.S. Census Bureau
http://www.census.gov/
United States Department of Commerce

Donor:

Terran Lane and Ronny Kohavi
Data Mining and Visualization
Silicon Graphics.
terran '@' ecn.purdue.edu, ronnyk '@' sgi.com 

The instance weight indicates the number of people in the population that each
record represents due to stratified sampling. To do real analysis and derive
conclusions, this field must be used. This attribute should *not* be used in
the classifiers.""

We did not use the instance weight here.


x: Age

y: Wage per hour


","Age, in the context of the Census Income (KDD) dataset, refers to the number of years a person has lived, which is a demographic factor used to analyze the wage per hour in the U.S. population.",Wage per hour is a measure of income that represents the amount of money an individual earns for each hour of work.
pair0013, Displacement, Fuel consumption, R,1,0,"Information for pairs0013:

Auto-Mpg Data

http://archive.ics.uci.edu/ml/datasets/Auto+MPG

1. Sources:
   (a) Origin:  This dataset was taken from the StatLib library which is
                maintained at Carnegie Mellon University. The dataset was 
                used in the 1983 American Statistical Association Exposition.
   (c) Date: July 7, 1993

2. Past Usage:
    -  See 2b (above)
    -  Quinlan,R. (1993). Combining Instance-Based and Model-Based Learning.
       In Proceedings on the Tenth International Conference of Machine 
       Learning, 236-243, University of Massachusetts, Amherst. Morgan
       Kaufmann.

3. Relevant Information:

   This dataset is a slightly modified version of the dataset provided in
   the StatLib library.  In line with the use by Ross Quinlan (1993) in
   predicting the attribute ""mpg"", 8 of the original instances were removed 
   because they had unknown values for the ""mpg"" attribute.  The original 
   dataset is available in the file ""auto-mpg.data-original"".

   ""The data concerns city-cycle fuel consumption in miles per gallon,
    to be predicted in terms of 3 multivalued discrete and 5 continuous
    attributes."" (Quinlan, 1993)

Attribute information:

mpg:           continuous
displacement:  continuous

x: displacement

y: mpg

","Displacement, in the context of the Auto-MPG dataset, is a continuous attribute representing the engine's size or capacity, typically measured in cubic centimeters (cc) or liters (L), which is used to predict the miles per gallon (mpg) of a vehicle.","Fuel consumption refers to the amount of fuel used by a vehicle over a certain distance, often measured in miles per gallon (mpg), and is influenced by factors such as engine displacement and driving conditions."
pair0014, Horse power, Fuel consumption, R,1,0,"Information for pairs0014:

Auto-Mpg Data

http://archive.ics.uci.edu/ml/datasets/Auto+MPG

1. Sources:
   (a) Origin:  This dataset was taken from the StatLib library which is
                maintained at Carnegie Mellon University. The dataset was 
                used in the 1983 American Statistical Association Exposition.
   (c) Date: July 7, 1993

2. Past Usage:
    -  See 2b (above)
    -  Quinlan,R. (1993). Combining Instance-Based and Model-Based Learning.
       In Proceedings on the Tenth International Conference of Machine 
       Learning, 236-243, University of Massachusetts, Amherst. Morgan
       Kaufmann.

3. Relevant Information:

   This dataset is a slightly modified version of the dataset provided in
   the StatLib library.  In line with the use by Ross Quinlan (1993) in
   predicting the attribute ""mpg"", 8 of the original instances were removed 
   because they had unknown values for the ""mpg"" attribute.  The original 
   dataset is available in the file ""auto-mpg.data-original"".

   ""The data concerns city-cycle fuel consumption in miles per gallon,
    to be predicted in terms of 3 multivalued discrete and 5 continuous
    attributes."" (Quinlan, 1993)

Attribute information:

mpg:         continuous
horsepower:  continuous

x: horsepower

y: mpg

","Horsepower is a unit of measurement signifying the power an engine produces, directly influencing a vehicle's speed and performance.","Fuel consumption refers to the amount of fuel a vehicle uses to travel a certain distance, often measured in miles per gallon (mpg), and can be influenced by factors such as horsepower and driving conditions."
pair0015, Weight, Fuel consumption, R,1,0,"Information for pairs0015:

Auto-Mpg Data

http://archive.ics.uci.edu/ml/datasets/Auto+MPG

1. Sources:
   (a) Origin:  This dataset was taken from the StatLib library which is
                maintained at Carnegie Mellon University. The dataset was 
                used in the 1983 American Statistical Association Exposition.
   (c) Date: July 7, 1993

2. Past Usage:
    -  See 2b (above)
    -  Quinlan,R. (1993). Combining Instance-Based and Model-Based Learning.
       In Proceedings on the Tenth International Conference of Machine 
       Learning, 236-243, University of Massachusetts, Amherst. Morgan
       Kaufmann.

3. Relevant Information:

   This dataset is a slightly modified version of the dataset provided in
   the StatLib library.  In line with the use by Ross Quinlan (1993) in
   predicting the attribute ""mpg"", 8 of the original instances were removed 
   because they had unknown values for the ""mpg"" attribute.  The original 
   dataset is available in the file ""auto-mpg.data-original"".

   ""The data concerns city-cycle fuel consumption in miles per gallon,
    to be predicted in terms of 3 multivalued discrete and 5 continuous
    attributes."" (Quinlan, 1993)

Attribute information:

mpg:      continuous
weight:	  continuous

x: weight

y: mpg

","In the context of the Auto-MPG dataset, ""Weight"" is a continuous attribute representing the weight of a vehicle, which is used to predict the vehicle's fuel consumption in miles per gallon.","Fuel consumption refers to the amount of fuel a vehicle uses to travel a certain distance, often measured in miles per gallon (mpg), and is influenced by factors such as vehicle weight."
pair0016, Horsepower, Acceleration, R,1,0,"Information for pairs0016:

Auto-Mpg Data

http://archive.ics.uci.edu/ml/datasets/Auto+MPG

1. Sources:
   (a) Origin:  This dataset was taken from the StatLib library which is
                maintained at Carnegie Mellon University. The dataset was 
                used in the 1983 American Statistical Association Exposition.
   (c) Date: July 7, 1993

2. Past Usage:
    -  See 2b (above)
    -  Quinlan,R. (1993). Combining Instance-Based and Model-Based Learning.
       In Proceedings on the Tenth International Conference of Machine 
       Learning, 236-243, University of Massachusetts, Amherst. Morgan
       Kaufmann.

3. Relevant Information:

   This dataset is a slightly modified version of the dataset provided in
   the StatLib library.  In line with the use by Ross Quinlan (1993) in
   predicting the attribute ""mpg"", 8 of the original instances were removed 
   because they had unknown values for the ""mpg"" attribute.  The original 
   dataset is available in the file ""auto-mpg.data-original"".

   ""The data concerns city-cycle fuel consumption in miles per gallon,
    to be predicted in terms of 3 multivalued discrete and 5 continuous
    attributes."" (Quinlan, 1993)

Attribute information:

horsepower:       continuous
acceleration:	  continuous

x: horsepower

y: acceleration

","Horsepower is a unit of measurement used to quantify the power output of an engine, often used in the context of automotive performance to indicate the engine's capacity to perform work.","Acceleration, in the context of the Auto-MPG dataset, is a continuous attribute representing the rate at which a vehicle increases its speed."
pair0017, Age, Dividends from stocks, R,1,0,"Information for pairs0017:

Census Income (KDD) dataset
https://archive.ics.uci.edu/ml/datasets/Census-Income+(KDD)

Info from the UCI ML webpage:

""This data set contains weighted census data extracted from the 1994 and 1995
current population surveys conducted by the U.S. Census Bureau.

Original Owner:

U.S. Census Bureau
http://www.census.gov/
United States Department of Commerce

Donor:

Terran Lane and Ronny Kohavi
Data Mining and Visualization
Silicon Graphics.
terran '@' ecn.purdue.edu, ronnyk '@' sgi.com 

The instance weight indicates the number of people in the population that each
record represents due to stratified sampling. To do real analysis and derive
conclusions, this field must be used. This attribute should *not* be used in
the classifiers.""

We did not use the instance weight here.

x: Age 

y: Dividends from stock


","Age, in the context of the Census Income (KDD) dataset, refers to the numerical representation of the years a person has lived, serving as a demographic variable that can influence factors such as income and dividends from stock.","Dividends from stocks refer to the portion of a company's earnings distributed to its shareholders, typically in cash or additional shares, serving as a source of income apart from any capital gains realized from the sale of the stock."
pair0018, Age, Concentration GAG, R,1,0,"Information for pairs0018:

Description:

Data were collected on the concentration of a chemical GAG in the urine of 314 children aged from zero to seventeen years. The aim of the study was to produce a chart to help a paediatrican to assess if a child's GAG concentration is â€˜normalâ€™.


x:    age of child in years. 

y:    concentration of GAG (the units have been lost). 

Source

Mrs Susan Prosser, Paediatrics Department, University of Oxford, via Department of Statistics Consulting Service.
References

Venables, W. N. and Ripley, B. D. (2002) Modern Applied Statistics with S. Fourth edition. Springer. 

","In this context, 'Age' refers to the number of years a child has lived, ranging from zero to seventeen, used as a variable to study its correlation with the concentration of a chemical GAG in their urine.","Concentration of GAG refers to the quantity of a chemical known as Glycosaminoglycans (GAG) present in a child's urine, used to determine if the child's GAG levels are within the normal range."
pair0019, Current duration, Next interval, R,1,0,"Information for pairs0019:

Old Faithful geyser data

Old Faithful is a hydrothermal geyser in Yellowstone National Park in the state of Wyoming, USA. 
Each observation corresponds to a single erruption.

x:    duration of erruption in minutes

y:    time to the next erruption in minutes


Source
http://research.microsoft.com/en-us/um/people/cmbishop/PRML/webdatasets/datasets.htm


","Current duration refers to the length of a single eruption of the Old Faithful geyser, measured in minutes.","The ""Next interval"" in this context refers to the time duration in minutes until the next eruption of the Old Faithful geyser after a specific eruption has occurred."
pair0020, Latitude, Temperature, R,1,0,"Information for pairs0020:

DWD data (Deutscher Wetterdienst)

data was taken at 349 stations

taken from
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue

more recent  link (Jan 2010):
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue


x: latitude

y: temperature (averaged over 1961-1990)

","Latitude is a geographical coordinate that specifies the north-south position of a point on the Earth's surface, measured in degrees from the equator, which is 0 degrees, with the poles at 90 degrees north and south.","Temperature is a quantitative measure of the degree of heat present in a substance or a system, often expressed in units of degrees, and in this context, it refers to the average atmospheric temperature recorded at various stations by the Deutscher Wetterdienst (DWD) between 1961-1990."
pair0021, Longitude, Precipitation, R,1,0,"Information for pairs0021:

DWD data (Deutscher Wetterdienst)

data was taken at 349 stations

taken from
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue

more recent  link (Jan 2010):
http://www.dwd.de/bvbw/appmanager/bvbw/dwdwwwDesktop/?_nfpb=true&_pageLabel=_dwdwww_klima_umwelt_klimadaten_deutschland&T82002gsbDocumentPath=Navigation%2FOeffentlichkeit%2FKlima__Umwelt%2FKlimadaten%2Fkldaten__kostenfrei%2Fausgabe__mittelwerte__node.html__nnn%3Dtrue


x: longitude

y: precipitation (yearly value averaged over 1961-1990)

","Longitude is a geographical coordinate that represents the east-west position of a point on the Earth's surface, measured in degrees from the prime meridian.","Precipitation is a meteorological phenomenon that includes all forms of water, liquid or solid, falling from the atmosphere to the Earth's surface, typically measured in terms of the amount of water (in millimeters) deposited over a specific period (like yearly)."
pair0022, Age, Height, R,1,0,"Information for pairs0022:

https://archive.ics.uci.edu/ml/datasets/Arrhythmia

Cardiac Arrhythmia Database

1. Sources:
   (a) Original owners od Database:
       -- 1. H. Altay Guvenir, PhD., 
             Bilkent University,
             Department of Computer Engineering and Information Science,
             06533 Ankara, Turkey
             Phone: +90 (312) 266 4133
             Email: guvenir@cs.bilkent.edu.tr

       -- 2. Burak Acar, M.S.,
             Bilkent University, 
             EE Eng. Dept. 
             06533 Ankara, Turkey
             Email: buraka@ee.bilkent.edu.tr

       -- 2. Haldun Muderrisoglu, M.D., Ph.D., 
             Baskent University, 
             School of Medicine
             Ankara, Turkey

   (b) Donor: H. Altay Guvenir
              Bilkent University,
              Department of Computer Engineering and Information Science,
              06533 Ankara, Turkey
              Phone: +90 (312) 266 4133
              Email: guvenir@cs.bilkent.edu.tr

   (c) Date: January, 1998

2. Past Usage:
   1. H. Altay Guvenir, Burak Acar, Gulsen Demiroz, Ayhan Cekin
      ""A Supervised Machine Learning Algorithm for Arrhythmia Analysis""
      Proceedings of the Computers in Cardiology Conference, 
      Lund, Sweden, 1997.
      
3. Number of Instances: 452

4. Attribute Information:

Age: 	Age in years  		linear
Height: Height in centimeters 	linear


x: age

y: height


","The concept of 'Age' in this context refers to the number of years a person has lived, used as a linear variable in the Cardiac Arrhythmia Database for analyzing arrhythmia patterns.","Height, in the context of the Cardiac Arrhythmia Database, refers to the stature of an individual measured in centimeters, and is a linear attribute used in the dataset."
pair0023, Age, Weight, R,1,0,"Information for pairs0023:

https://archive.ics.uci.edu/ml/datasets/Arrhythmia

Cardiac Arrhythmia Database

1. Sources:
   (a) Original owners od Database:
       -- 1. H. Altay Guvenir, PhD., 
             Bilkent University,
             Department of Computer Engineering and Information Science,
             06533 Ankara, Turkey
             Phone: +90 (312) 266 4133
             Email: guvenir@cs.bilkent.edu.tr

       -- 2. Burak Acar, M.S.,
             Bilkent University, 
             EE Eng. Dept. 
             06533 Ankara, Turkey
             Email: buraka@ee.bilkent.edu.tr

       -- 2. Haldun Muderrisoglu, M.D., Ph.D., 
             Baskent University, 
             School of Medicine
             Ankara, Turkey

   (b) Donor: H. Altay Guvenir
              Bilkent University,
              Department of Computer Engineering and Information Science,
              06533 Ankara, Turkey
              Phone: +90 (312) 266 4133
              Email: guvenir@cs.bilkent.edu.tr

   (c) Date: January, 1998

2. Past Usage:
   1. H. Altay Guvenir, Burak Acar, Gulsen Demiroz, Ayhan Cekin
      ""A Supervised Machine Learning Algorithm for Arrhythmia Analysis""
      Proceedings of the Computers in Cardiology Conference, 
      Lund, Sweden, 1997.
      
3. Number of Instances: 452

4. Attribute Information:

Age: 	Age in years  		linear
Weight: Height in centimeters 	linear


x: age

y: weight


","'Age' in this context refers to the numerical representation of the years a person has lived, used as a variable in the Cardiac Arrhythmia Database for analyzing arrhythmia through machine learning algorithms.","'Weight' in this context refers to the height of the individuals in centimeters, a linear attribute in the Cardiac Arrhythmia Database."
pair0024, Age, Heart rate, R,1,0,"Information for pairs0024:

https://archive.ics.uci.edu/ml/datasets/Arrhythmia

Cardiac Arrhythmia Database

1. Sources:
   (a) Original owners od Database:
       -- 1. H. Altay Guvenir, PhD., 
             Bilkent University,
             Department of Computer Engineering and Information Science,
             06533 Ankara, Turkey
             Phone: +90 (312) 266 4133
             Email: guvenir@cs.bilkent.edu.tr

       -- 2. Burak Acar, M.S.,
             Bilkent University, 
             EE Eng. Dept. 
             06533 Ankara, Turkey
             Email: buraka@ee.bilkent.edu.tr

       -- 2. Haldun Muderrisoglu, M.D., Ph.D., 
             Baskent University, 
             School of Medicine
             Ankara, Turkey

   (b) Donor: H. Altay Guvenir
              Bilkent University,
              Department of Computer Engineering and Information Science,
              06533 Ankara, Turkey
              Phone: +90 (312) 266 4133
              Email: guvenir@cs.bilkent.edu.tr

   (c) Date: January, 1998

2. Past Usage:
   1. H. Altay Guvenir, Burak Acar, Gulsen Demiroz, Ayhan Cekin
      ""A Supervised Machine Learning Algorithm for Arrhythmia Analysis""
      Proceedings of the Computers in Cardiology Conference, 
      Lund, Sweden, 1997.
      
3. Number of Instances: 452

4. Attribute Information:

Age: 		Age in years 	 			linear
Heart rate: 	Number of heart beats per minute 	linear


We discarded one instance, because heart rate was missing.


x: age

y: heart rate


","'Age' in this context refers to the number of years a person has lived, used as a variable in the Cardiac Arrhythmia Database to study its potential correlation with heart rate.","Heart rate, in the context of the Cardiac Arrhythmia Database, refers to the number of heart beats per minute, which is a linear attribute used to analyze arrhythmia."
